ref,tipo,titulo,autor,capa_url,capitulo_atual,status_leitura,status_publicacao,nota,generos,tags,observacoes
obra_0001,Manwha,A Bad Example of a Perfect Curse,,,,,,,,,
obra_0002,,A Beast Swallowed by a Flower,,,,,,,,,
obra_0003,,A Bittersweet Couple,,,,,,,,,
obra_0004,,A Capable Maid,,,,,,,,,
obra_0005,,A Child Who Looks Like Me,,,,,,,,,
obra_0006,,A Deal With My Fake Husband,,,,,,,,,
obra_0007,,A Deceiving Bride and The Fierce Lion,,,,,,,,,
obra_0008,,A Flowery Path for the Devastated Male Lead,,,,,,,,,
obra_0009,,A Fortune-Telling Princess,,,,,,,,,
obra_0010,,A Guide to the Reality of Villain Extras,,,,,,,,,
obra_0011,,A Perfect Ending Plan of the Villain in a Fairy Tale,,,,,,,,,
obra_0012,,A Queen Worthy of Dishonor,,,,,,,,,
obra_0013,,A Revenge Guide for the Terminally Ill Maid,,,,,,,,,
obra_0014,,A Savage Proposal,,,,,,,,,
obra_0015,,A Stepmother's Märchen,,,,,,,,,
obra_0016,,A Transmigrator's Privilege,,,,,,,,,
obra_0017,,A Villains End Is Not A Choice,,,,,,,,,
obra_0018,,A Way to Protect the Lovable You,,,,,,,,,
obra_0019,,A Widowed Queen's Devotion for Love,,,,,,,,,
obra_0020,,"Abandoned, Yet Loved Beyond Measure",,,,,,,,,
obra_0021,,"After breaking up, I had relationship with my ex's uncle-in-law",,,,,,,,,
obra_0022,,After the Frozen Heart Melts,,,,,,,,,
obra_0023,,All About Dominative And Exclusive Destruction,,,,,,,,,
obra_0024,,"Although She is a Failed Princess, She is Loved by The Grand Duke in this Life",,,,,,,,,
obra_0025,,Among the Filth,,,,,,,,,
obra_0026,,An Unexpected Engagement,,,,,,,,,
obra_0027,,Anyone Can Become A Villainess,,,,,,,,,
obra_0028,,Apocalypse Villainess: Surviving With Corporate Slave Skills,,,,,,,,,
obra_0029,,Are We Still in Love?,,,,,,,,,
obra_0030,,Arrogant Regret,,,,,,,,,
obra_0031,,"Atonement, Regarding Its Cruelty",,,,,,,,,
obra_0032,,Azelda: The Spirit Master's Contract Marriage,,,,,,,,,
obra_0033,,Baby Snow Leopard of the Black Leopard Family,,,,,,,,,
obra_0034,,Bastian,,,,,,,,,
obra_0035,,Becoming A Family With The Duke and His Dear Son,,,,,,,,,
obra_0036,,Becoming the Guide of the Mysophobic Villain? Absolutely Not!,,,,,,,,,
obra_0037,,Becoming the Lady of the Cursed Ducal House,,,,,,,,,
obra_0038,,Beginning Part 2 of the Failure,,,,,,,,,
obra_0039,,Begrudgingly Yours,,,,,,,,,
obra_0040,,Being A Wicked Woman Is Comfortable And Pleasant,,,,,,,,,
obra_0041,,Beneath the Surviving Princess Joyful Facade,,,,,,,,,
obra_0042,,BJ Villainess,,,,,,,,,
obra_0043,,Black Winter,,,,,,,,,
obra_0044,,Born a Princess,,,,,,,,,
obra_0045,,Bound to Your Ruin,,,,,,,,,
obra_0046,,"But Please, Help Me",,,,,,,,,
obra_0047,,Can We Become a Family?,,,,,,,,,
obra_0048,,Captive in Dreamland,,,,,,,,,
obra_0049,,Catching Up With Luke Bischel,,,,,,,,,
obra_0050,,Charlotte's Wheel,,,,,,,,,
obra_0051,,Concubine's Invitation,,,,,,,,,
obra_0052,,Contractual Relationships with Friends Should be Done Carefully,,,,,,,,,
obra_0053,,Corrupting the Heroine's First Love,,,,,,,,,
obra_0054,,Country Life With His Sexy Majesty,,,,,,,,,
obra_0055,,Court of Music and Dance,,,,,,,,,
obra_0056,,Cursed Night,,,,,,,,,
obra_0057,,Deadly Nightshade,,,,,,,,,
obra_0058,,Dear Anonymous Sponsor,,,,,,,,,
obra_0059,,Dear First Love,,,,,,,,,
obra_0060,,"Dear Villainous Husband, the One to be Obsessed with is Over There",,,,,,,,,
obra_0061,,Death Is The Only Ending For The Villainess,,,,,,,,,
obra_0062,,Demonas,,,,,,,,,
obra_0063,,Dépaysement,,,,,,,,,
obra_0064,,Divorce is the Condition,,,,,,,,,
obra_0065,,Do All Mothers in Childcare Novels have to Die?,,,,,,,,,
obra_0066,,Do Your Best and Regret,,,,,,,,,
obra_0067,,Doctor Resignation,,,,,,,,,
obra_0068,,Don't Be Carelessly Friendly,,,,,,,,,
obra_0069,,Don't Do This Your Majesty!,,,,,,,,,
obra_0070,,Don't Grab the Broken Branch,,,,,,,,,
obra_0071,,Don't Look For Me,,,,,,,,,
obra_0072,,Don't look for the resurrected Villainess,,,,,,,,,
obra_0073,,Don’t Obsess Over the Fake Princess!,,,,,,,,,
obra_0074,,"Don't Worry, We Both Agreed to this Fraudulent Marriage",,,,,,,,,
obra_0075,,Duchess Mecklen's Elegant Rebellion,,,,,,,,,
obra_0076,,"Duke, that man is my real brother",,,,,,,,,
obra_0077,,Ebony,,,,,,,,,
obra_0078,,Elegant Aubrey,,,,,,,,,
obra_0079,,Elixir of the Sun,,,,,,,,,
obra_0080,,Éminence Grise Female Lead Is Trying To Make Me Her Stepmom,,,,,,,,,
obra_0081,,Empress of the Ashes,,,,,,,,,
obra_0082,,Endless Yearning,,,,,,,,,
obra_0083,,"Even if I Hide My Power, the Noble Lady Is the Strongest",,,,,,,,,
obra_0084,,Extras Don't Want to be Overly Obsessed,,,,,,,,,
obra_0085,,Fake Wife,,,,,,,,,
obra_0086,,Fakes Don't Want To Be Real,,,,,,,,,
obra_0087,,Fall in Love or Die,,,,,,,,,
obra_0088,,Falling for the Enemy,,,,,,,,,
obra_0089,,"Father, I Don't Want to Get Married!",,,,,,,,,
obra_0090,,"Flowers Are Flowers, Leaves Are Leaves",,,,,,,,,
obra_0091,,For a Certain Princess,,,,,,,,,
obra_0092,,For the Goddesses: For Daphne,,,,,,,,,
obra_0093,,For The Queendom,,,,,,,,,
obra_0094,,For Those of You For Whom Regret Is a Luxury,,,,,,,,,
obra_0095,,"Forget My Husband, I'll Go Make Money",,,,,,,,,
obra_0096,,Forgotten Juliet,,,,,,,,,
obra_0097,,Friends Shouldn't Act This Way,,,,,,,,,
obra_0098,,From Disgraced Lady to Beloved Stepmother,,,,,,,,,
obra_0099,,Girl in The Forest,,,,,,,,,
obra_0100,,Give Me the Pacifier,,,,,,,,,
obra_0101,,Goddess of Fortune,,,,,,,,,
obra_0102,,Golden Chevalier,,,,,,,,,
obra_0103,,"Goodbye, Unfaithful Fiancé: I’ll Find Happiness in the Next Game!",,,,,,,,,
obra_0104,,Grand Duchess's Constitution,,,,,,,,,
obra_0105,,"Grand Duke, It Was a Mistake!",,,,,,,,,
obra_0106,,Heeran Love Song,,,,,,,,,
obra_0107,,Her Lies,,,,,,,,,
obra_0108,,Her Majesty's Night,,,,,,,,,
obra_0109,,Here Reigns the Vengeful Villainess,,,,,,,,,
obra_0110,,Hold Her Tighter So She Wouldn't Run Away,,,,,,,,,
obra_0111,,"Honey, Why Can't We Get A Divorce?",,,,,,,,,
obra_0112,,"Hopefully, at Your Mercy",,,,,,,,,
obra_0113,,How can a time-limited evil gain her vengeance?,,,,,,,,,
obra_0114,,"How Can There be a Divorce When We Haven't Even Married, Your Majesty?",,,,,,,,,
obra_0115,,How to Get My Husband on My Side,,,,,,,,,
obra_0116,,How to Perfectly End a Contract Marriage,,,,,,,,,
obra_0117,,How to Protect the Master of the Monster Mansion,,,,,,,,,
obra_0118,,How To Reject My Obsessive Ex-Husband,,,,,,,,,
obra_0119,,How to Survive As The Devil's Daughter,,,,,,,,,
obra_0120,,Husband Thief,,,,,,,,,
obra_0121,,"Husband, I wont Forgive You if You Die in this Life",,,,,,,,,
obra_0122,,I Am Selling the Main Character's Shares,,,,,,,,,
obra_0123,,I became the Despised Granddaughter of the Powerful Martial Arts Family,,,,,,,,,
obra_0124,,I Became The Duke's Male Servant,,,,,,,,,
obra_0125,,I Became the Empress Doomed to Die at the Hands of the Tyrant,,,,,,,,,
obra_0126,,I Became the Head of the Family,,,,,,,,,
obra_0127,,I Became the Hero's Mom,,,,,,,,,
obra_0128,,I Became The Male Lead's Female Friend,,,,,,,,,
obra_0129,,I Became the Stepmother of a Terminally Ill Child,,,,,,,,,
obra_0130,,I Became the Sultan's Precious Cat,,,,,,,,,
obra_0131,,I Became the Trashy Duke's Affair Partner,,,,,,,,,
obra_0132,,I Became the Trashy Duke’s Affair Partner,,,,,,,,,
obra_0133,,I Became the Tyrant's Servant,,,,,,,,,
obra_0134,,I Became the Villainess in an Anticlimactic Novel,,,,,,,,,
obra_0135,,I Became the Villainess's Favorite,,,,,,,,,
obra_0136,,I Became the Wife of the Male Lead,,,,,,,,,
obra_0137,,I Brought the Male Lead to His Knees Before Me,,,,,,,,,
obra_0138,,I Can See Your Death,,,,,,,,,
obra_0139,,I Can’t Get A Divorce Because The Duke Is Too Fond Of Me!,,,,,,,,,
obra_0140,,I Can't Stop Doting the Empire's Most Notorious Villainess!,,,,,,,,,
obra_0141,,I Can't Wait To Eat You,,,,,,,,,
obra_0142,,I Captured The Tyrant's Heart,,,,,,,,,
obra_0143,,I Carry The Enemy's Child,,,,,,,,,
obra_0144,,I Didn't Mean to Seduce the Male Lead,,,,,,,,,
obra_0145,,I Failed To Throw The Villain Away,,,,,,,,,
obra_0146,,"I Faked a Pregnancy, but My Husband Returned",,,,,,,,,
obra_0147,,I Found A Family That Wasn't In My Adoption Plan,,,,,,,,,
obra_0148,,I Got Married To A Villain,,,,,,,,,
obra_0149,,I Grabbed The Leash Of The Blind Beast,,,,,,,,,
obra_0150,,I Have No Health,,,,,,,,,
obra_0151,,I have possessed the body of the protagonist,,,,,,,,,
obra_0152,,I Have the Dragon's Heart,,,,,,,,,
obra_0153,,I Know I Shouldn’t Do This with the Duke,,,,,,,,,
obra_0154,,I Leave You Because I Love You,,,,,,,,,
obra_0155,,I Made a Deal with the Devil,,,,,,,,,
obra_0156,,I Married the Monster Twice,,,,,,,,,
obra_0157,,"I May Be a Sickly Mom, but I'll Raise My Fallen Son!",,,,,,,,,
obra_0158,,I Met My Enemy at the Engagement Party,,,,,,,,,
obra_0159,,I Only Need the Duke’s Child,,,,,,,,,
obra_0160,,I Raised My Fiancé with Money,,,,,,,,,
obra_0161,,I Raised My Younger Sister Beautifully,,,,,,,,,
obra_0162,,I Refuse to Be Executed a Second Time,,,,,,,,,
obra_0163,,"I Saved You, but I'm Not Responsible",,,,,,,,,
obra_0164,,I Saw the Future With the Killer Grand Duke,,,,,,,,,
obra_0165,,I stole the child of my war-mad husband,,,,,,,,,
obra_0166,,I Tamed a Tyrant and Ran Away,,,,,,,,,
obra_0167,,I Tamed My Ex-Husband's Mad Dog,,,,,,,,,
obra_0168,,I Tamed The Tyrant Emperor,,,,,,,,,
obra_0169,,I Think It Would Be Better For Me to Become King,,,,,,,,,
obra_0170,,I Thought It's a Common Possession,,,,,,,,,
obra_0171,,I Tried To Be Her Loyal Sword,,,,,,,,,
obra_0172,,"I Want to Be You, Just For A Day",,,,,,,,,
obra_0173,,I Want To Eat You,,,,,,,,,
obra_0174,,I Was The Acting Empress But I Spent The First Night With Him,,,,,,,,,
obra_0175,,I Will Be Next to the Main Character,,,,,,,,,
obra_0176,,I Will Become the Villain's Poison Detector,,,,,,,,,
obra_0177,,I Will Buy Divine Power With Money!,,,,,,,,,
obra_0178,,I Will Dedicate My Life To Revenge,,,,,,,,,
obra_0179,,"I Will Disappear, Your Grace",,,,,,,,,
obra_0180,,I Will Divorce the Female Lead's Siscon Brother,,,,,,,,,
obra_0181,,I will escape from the flower of ordeal,,,,,,,,,
obra_0182,,I Will Fall With The Emperor,,,,,,,,,
obra_0183,,I Will Politely Decline The Male Lead,,,,,,,,,
obra_0184,,I Will Raise My Child As Another Man's,,,,,,,,,
obra_0185,,I Will Surrender My Position as the Empress,,,,,,,,,
obra_0186,,I Wish My Husband Were Dead,,,,,,,,,
obra_0187,,"I Won't Regret My Second Life, The Happy Ending Comes After Revenge",,,,,,,,,
obra_0188,,I'd Rather Abandon You Than Be Abandoned,,,,,,,,,
obra_0189,,I’ll Make You Pay with Your Life for Deceiving Me,,,,,,,,,
obra_0190,,"I'm a Fairy, Not a Saintess",,,,,,,,,
obra_0191,,I'm a Solo Guide,,,,,,,,,
obra_0192,,"I'm a Villainess, but I Won't Live Like One",,,,,,,,,
obra_0193,,"I'm a Villainess, Can I Die?",,,,,,,,,
obra_0194,,"I'm a Worthless Stepmother, But I Love My Family Madly!",,,,,,,,,
obra_0195,,I'm Being Raised by Villains,,,,,,,,,
obra_0196,,I'm Divorcing My Tyrant Husband,,,,,,,,,
obra_0197,,I'm Done Being My Big Sister's Sidekick,,,,,,,,,
obra_0198,,I'm Doomed if They Become Obsessed,,,,,,,,,
obra_0199,,I'm Imprisoned By The Mad Dog I Raised,,,,,,,,,
obra_0200,,I'm In Trouble Because The Emperor Thinks I'm Terminally Ill,,,,,,,,,
obra_0201,,I'm Not the Final Boss' Lover,,,,,,,,,
obra_0202,,"I'm Only a Stepmother, But My Daughter is Just So Cute!",,,,,,,,,
obra_0203,,I'm Sorry for Being an Unqualified Empress,,,,,,,,,
obra_0204,,I'm stuck in a crazy drama,,,,,,,,,
obra_0205,,I'm Stuck on a Remote Island With the Male Leads,,,,,,,,,
obra_0206,,I'm the Villainous Male Lead's Terminally Ill Aunt,,,,,,,,,
obra_0207,,Ice Flower Knight,,,,,,,,,
obra_0208,,"If They Get Obsessed, I'm Doomed",,,,,,,,,
obra_0209,,If You Wish For a Married Couple's Duties,,,,,,,,,
obra_0210,,If You Wish for My Despair,,,,,,,,,
obra_0211,,In Between,,,,,,,,,
obra_0212,,In the Garden of May,,,,,,,,,
obra_0213,,In the Grasp of a Loving Yet Possessive Male Lead,,,,,,,,,
obra_0214,,In the Name of Special Contract Marriage,,,,,,,,,
obra_0215,,"In The Night, At The Duke's Mansion",,,,,,,,,
obra_0216,,Insanely Radiant,,,,,,,,,
obra_0217,,Isabela,,,,,,,,,
obra_0218,,Isnelda,,,,,,,,,
obra_0219,,It Looks Like I've Fallen into the World of a Reverse Harem Game,,,,,,,,,
obra_0220,,It Was Just a Contract Marriage,,,,,,,,,
